"ID";"Title";"Description"
112;"Карьер";"самый быстрый аллюр, отличающийся от галопа тем, что в момент приземления задние конечности оказываются впереди передних."
113;"Компактная собака";"обычно квадратного формата с глубокой грудью и короткой поясницей."
114;"Кондиция";"физическое состояние собаки, определяемое степенью развитости жировых отложений и скелетной мускулатуры, качеством шерстного покрова. Различают заводские, выставочные, рабочие кондиции. Истощение или ожирение – нарушение нормальных кондиций собаки."
115;"Конституция";"морфологические и функциональные особенности организма собаки, сложившиеся на основе наследственных и приобретенных свойств. Выражается в определенном телосложении и в реакции на воздействия внешней среды."
116;"Крипторхизм";"дефект эмбрионального развития, передающийся по наследству (в том числе через сук), при котором у взрослого кобеля один или оба семенника не опускаются в мошонку. Собака с таким недостатком (крипторх) бракуется на выставках и не допускается в племенное разведение, хотя односторонние крипторхи могут давать потомство."
117;"КС";"(караульная служба) - курс дрессуры служебных собак для несения караульной службы."
118;"Купирование";"1. Ампутация части ушной раковины, обычно в возрасте 2,5 - 4 месяца; в ряде стран запрещено законом. 2. Ампутация части хвоста, обычно в возрасте 3-4 дней; оставляют от одного позвонка до половины или даже двух третей хвоста."
119;"КЧК";"выставочный титул «Кандидат в чемпионы национального клуба»."
120;"ЛВ";"выставочный титул «Лучший ветеран породы»."
121;"Линия";"объективно существующая и имеющая определенное качественное своеобразие ценная группа племенных животных, происходящая от определенного выдающегося производителя-родоначальника. Линию составляет ценная группа собак – кобелей и сук, со сходными особенностями поведения, конституции, экстерьера и служебных качеств, полученная в результате продуманного целеустремленного отбора и подбора потомства собак, родоначальником которого является выдающийся по служебным и племенным качествам производитель."
122;"ЛК";"выставочный титул «Лучший кобель»."
123;"ЛПП";"выставочный титул «Лучший представитель породы»."
124;"ЛС";"выставочный титул «Лучшая сука»."
125;"ЛЩ";"выставочный титул «Лучший щенок породы»."
126;"Метис";"щенок, полученный от скрещивания собак различных пород."
127;"Навык";"условный рефлекс, доведенный в процессе дрессировки до автоматизма."
128;"Намордник";"приспособление, используемое для безопасного содержания собак в общественных местах (при выгуле, перевозках и т.д.). Бывает видов: петельный, сетчатый и глухой."
129;"Недокус";"прикус, при котором резцы нижней челюсти не доходят до линии верхних резцов и между ними остается промежуток."
130;"ОКД";"(общий курс дрессировки) - национальная система дрессировки собак, позволяющая выработать навыки, дисциплинирующие собаку и позволяющие управлять его поведением как в процессе повседневного обращения, так и при применении на службе. Без сдачи норм ОКД в СССР собаки не допускались к племенному разведению."
131;"Окрас";"преобладающий цвет шерстного покрова у собак, важный элемент их экстерьера, характерный природный признак."
132;"Отбор";"выявление и сохранение собак с наиболее высокими служебными и племенными качествами для их дальнейшего разведения. Отобранных для разведения собак называют племенными."
133;"Ошейник";"короткий ремень, одеваемый на шею собаки для удержания ее рядом с человеком или объектом."
134;"Парфорс";"строгий ошейник с металлическими шипами."
135;"Перекус";"прикус, при котором резцы нижней челюсти выдвинуты вперед за линию верхних зубов. Для бульдогов норма – перекус с большим отходом."
136;"Перо";"название хвоста у сеттеров. При работе собаки он вытянут горизонтально, а свисающая прямая или слегка волнистая шерсть, постепенно удлиняющаяся к середине и сходящая на нет к концу, придает хвосту сходство с пером птицы."
137;"Поводок";"лента из прочного материала (кожа, тесьма, шнур, капрон и др.), предназначенная для выгула собак."
138;"Подбор";"наиболее целесообразное соединение в пары отобранных племенных собак для последующей их вязки с целью получения щенков с запланированными качествами."
139;"Полено";"название хвоста у собак некоторых пород. Такой хвост в сечении имеет более или менее круглую форму и покрыт ровной густой шерстью одинаковой длины."
140;"Помет";"щенки, родившиеся в один срок от одних родителей."
141;"Правило";"(ударение на ""и"") название хвоста борзых."
142;"Прикус";"взаимное положение зубов верхней и нижней челюстей при их смыкании."
143;"Прикус бульдожий";"(бульдожина) - вариант перекуса, при котором не только резцы, но и клыки нижней челюсти заметно выступают вперед, за линию верхних резцов."
144;"Прикус клещеобразный";"прикус, при котором верхние и нижние резцы при смыкании челюстей упираются друг в друга. Считается отклонением от нормального, ножницеобразного, прикуса, но у некоторых пород допустим."
145;"Прикус ножницеобразный";"прикус, при котором резцы нижней челюсти передними поверхностями примыкают к задней стороне верхних резцов, не отходя от них. Считается правильным для большинства пород."
146;"Притравка";"обучение охотничьих собак работе по зверю, обычно подсадному: лаек по привязанному медведю, норных по лисице в искусственной норе, борзых по выпущенному зайцу."
147;"Прут";"хвост у пойнтера: упругий, утончающийся к концу, гладкий, почти без изгиба. Работающая собака держит его горизонтально."
148;"Ринг";"площадка на территории выставки, где проводится экспертиза собак."
149;"РКФ";"(Российская кинологическая федерация) - национальная федерация кинологов, член FCI."
